CustomerID,Lookalike1,Score1,Lookalike2,Score2,Lookalike3,Score3
C0001,C0184,0.9854354511521983,C0152,0.9829523607362369,C0192,0.9767775637058081
C0002,C0106,0.969801984084453,C0134,0.9691103849392436,C0088,0.9494811885119274
C0003,C0035,0.9787007119537631,C0076,0.9771604470428723,C0031,0.9768793747367625
C0004,C0165,0.9934675222048329,C0155,0.9864637094248316,C0169,0.9863948974897292
C0005,C0007,0.9811901575452925,C0159,0.9770798740187067,C0166,0.9632004424291866
C0006,C0036,0.9909456763503707,C0187,0.9859112263099212,C0085,0.9722191378985325
C0007,C0005,0.9811901575452925,C0140,0.9610806372354392,C0186,0.9529455790123177
C0008,C0059,0.9579655488678624,C0124,0.950967853842686,C0127,0.9467233727027692
C0009,C0160,0.9618976931559676,C0112,0.9593239792166893,C0192,0.9577760290129891
C0010,C0103,0.9724744586381233,C0199,0.9573542399091548,C0029,0.955427898178228
C0011,C0174,0.9937920469336188,C0169,0.9800926681866055,C0155,0.9793535348231068
C0012,C0195,0.9873355060746694,C0039,0.9807436687374277,C0055,0.9775456719306723
C0013,C0183,0.9747426870508058,C0016,0.9727900877901451,C0087,0.971749912830599
C0014,C0097,0.9417443371222254,C0110,0.9292615580245512,C0020,0.8968848023833311
C0015,C0125,0.9462266375773579,C0063,0.9393332953375532,C0185,0.93917243856288
C0016,C0183,0.9958848356354345,C0148,0.9858802118426675,C0067,0.9826469681866244
C0017,C0156,0.9843364120490199,C0081,0.9840151252398325,C0075,0.9790970274143215
C0018,C0046,0.9765012293202607,C0087,0.9751187901936008,C0187,0.946221377771093
C0019,C0139,0.9864422241672821,C0122,0.96637524798324,C0023,0.9435499074427034
C0020,C0144,0.9100401381239178,C0080,0.9036393942894885,C0130,0.9034301885446054
